ds,yhat,yhat_lower,yhat_upper
1980-01-01,-3.3502572087198814,-216.57988719328802,200.64653115753825
1981-01-01,54.51995901577018,-156.47945528606454,268.30090997970143
1982-01-01,52.403237613688304,-167.81324091170973,283.1935631013557
1983-01-01,47.48787612201215,-166.01168409700387,253.09754421727695
1984-01-01,39.793023113221466,-187.62822685034018,268.808370370274
1985-01-01,97.66323933709562,-123.52661137934798,325.17309289689865
1986-01-01,95.54651793230241,-105.66922202993123,324.755608773075
1987-01-01,90.6311564405642,-117.20009610669372,316.2931220491573
1988-01-01,82.93630343441288,-126.33666266054583,297.90932618591273
1989-01-01,140.80651965928558,-83.408569153653,348.2697424256115
1990-01-01,138.6897982568143,-71.3396285123699,365.0423147114068
1991-01-01,133.77443676182494,-84.84363221224116,345.26125060606404
1992-01-01,126.07958374955365,-87.79821413431092,342.7115771133402
1993-01-01,183.94979997314314,-19.213944872114524,400.80947628429544
1994-01-01,181.8330785690105,-35.590866498738514,414.3304321875627
1995-01-01,176.91771707364987,-24.13747683506288,387.569829714646
1996-01-01,169.22286406126372,-51.93458174482799,377.9946463842584
1997-01-01,227.09308028329303,27.436146708737112,448.97103409084826
1998-01-01,224.97635888064158,19.914507604241113,441.7265217416174
1999-01-01,220.0609973906267,-9.280549463129525,423.3089996874736
2000-01-01,212.3661443822811,-20.555623541687954,416.755890036682
2001-01-01,270.23636060640354,35.097934412773355,470.694980012665
2002-01-01,268.1196392031173,51.26031527272907,491.7868052680827
2003-01-01,263.20427771035327,52.293100185126434,484.834442003821
2004-01-01,255.5094247027502,27.307036084676874,484.5272589878501
2005-01-01,313.3796409305538,89.54278147648625,532.9545916171611
2006-01-01,311.26281223960916,101.76786316395321,535.2111684835525
2007-01-01,306.3473434568292,95.38399217344686,526.8957116428687
2008-01-01,298.65238315696223,86.15003528720325,511.4025285434722
2009-01-01,356.5224917096522,125.79943596541706,572.122392167725
2010-01-01,354.4056629302601,138.71666305229746,559.6044857013386
2011-01-01,349.49019406054975,131.47784953399855,556.6680793367093
2012-01-01,341.7952336737819,122.38704135084716,556.0997724515147
2013-01-01,399.665342226707,195.23412627359474,621.7982220698063
2014-01-01,397.5485134465023,202.0108387260507,603.2040928220249
2015-01-01,392.6330445769539,176.36240392049285,613.8192619596622
2016-01-01,384.93808419011043,170.57370458062832,617.7181190150455
2017-01-01,442.808192743096,236.1722001148851,664.7907643143423
2020-01-01,428.0809347064197,189.29426863386902,656.9248206826926
2020-12-31,417.63048036878894,208.3099930207507,626.2949382137313
2021-12-31,404.45334279169464,182.52168339868618,618.4265575083901
2022-12-31,388.5831018832199,179.36393886569707,617.906321916822
2023-12-31,370.05805477764335,158.49091855978816,583.776165628134
2024-12-31,460.7733308853678,255.75794891779816,679.636150222671
